assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
1604460,180238,Stichopus herrmanni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Stichopus,herrmanni,,,,"Semper, 1868",Vulnerable,A2bd,3.1,Decreasing,Global
1609567,180275,Holothuria lessoni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,lessoni,,,,"Massin et al., 2009",Endangered,A2bd,3.1,Decreasing,Global
1618704,180352,Bohadschia vitiensis,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Bohadschia,vitiensis,,,,"(Semper, 1868)",Data Deficient,,3.1,Decreasing,Global
1621878,180373,Isostichopus fuscus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Isostichopus,fuscus,,,,"(Ludwig, 1875)",Endangered,A2bd,3.1,Decreasing,Global
1636021,180481,Thelenota ananas,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Thelenota,ananas,,,,"(Jaeger, 1833)",Endangered,A2bd,3.1,Decreasing,Global
2108120,192521,Conus retifer,ANIMALIA,MOLLUSCA,NEOGASTROPODA,GASTROPODA,CONIDAE,Conus,retifer,,,,"Menke, 1829",Least Concern,,3.1,Decreasing,Global
3466788,132863,Acropora prostrata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,prostrata,,,,"(Dana, 1846)",Data Deficient,,3.1,Decreasing,Global
3468128,132866,Montipora angulata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,angulata,,,,"(Lamarck, 1816)",Vulnerable,A4ce,3.1,Decreasing,Global
3490569,132913,Acropora rudis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,rudis,,,,"(Rehberg, 1892)",Endangered,A4ce,3.1,Decreasing,Global
3499437,132933,Acropora carduus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,carduus,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3503328,132942,Montipora patula,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,patula,,,,"Verrill, 1864",Vulnerable,D2,3.1,Decreasing,Global
3503904,132944,Montipora nodosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,nodosa,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3516341,132972,Acropora paniculata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,paniculata,,,,"Verrill, 1902",Vulnerable,A4ce,3.1,Decreasing,Global
3520070,132979,Favites complanata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favites,complanata,,,,"(Ehrenberg, 1834)",Near Threatened,,3.1,Decreasing,Global
3524260,132987,Echinopora gemmacea,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,gemmacea,,,,"Lamarck, 1816",Least Concern,,3.1,Decreasing,Global
3524962,132988,Acropora longicyathus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,longicyathus,,,,"(Milne Edwards &amp; Haime, 1860)",Least Concern,,3.1,Decreasing,Global
3530977,133060,Goniastrea favulus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Goniastrea,favulus,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3534237,133003,Leptastrea bewickensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Leptastrea,bewickensis,,,,"Veron &amp; Pichon, 1977",Near Threatened,,3.1,Decreasing,Global
3539345,133080,Acropora selago,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,selago,,,,"(Studer, 1878)",Near Threatened,,3.1,Decreasing,Global
3540541,133010,Acropora elseyi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,elseyi,,,,"(Brook, 1892)",Least Concern,,3.1,Decreasing,Global
3545567,133015,Montipora millepora,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,millepora,,,,"Crossland, 1952",Least Concern,,3.1,Decreasing,Global
3561302,133101,Goniastrea minuta,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Goniastrea,minuta,,,,"Veron, 2002",Near Threatened,,3.1,Decreasing,Global
3561794,133030,Acropora tutuilensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,tutuilensis,,,,"Hoffmeister, 1925",Data Deficient,,3.1,Decreasing,Global
3562717,133031,Montipora effusa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,effusa,,,,"Dana, 1846",Near Threatened,,3.1,Decreasing,Global
3564383,133033,Acropora pulchra,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,pulchra,,,,"(Brook, 1891)",Least Concern,,3.1,Decreasing,Global
3566820,133035,Acropora insignis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,insignis,,,,"Nemenzo, 1967",Data Deficient,,3.1,Decreasing,Global
3574580,133115,Acropora retusa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,retusa,,,,"(Dana, 1846)",Vulnerable,A4ce,3.1,Decreasing,Global
3578380,133048,Astreopora suggesta,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,suggesta,,,,"Wells, 1954",Least Concern,,3.1,Decreasing,Global
3578932,133120,Acropora latistella,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,latistella,,,,"(Brook, 1891)",Least Concern,,3.1,Decreasing,Global
