assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
1621878,180373,Isostichopus fuscus,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
1621878,180373,Isostichopus fuscus,9.8,Marine Neritic - Coral Reef,,,Suitable
3503904,132944,Montipora nodosa,9.8.1,Outer Reef Channel,,,Suitable
3503904,132944,Montipora nodosa,9.8.2,Back Slope,,,Suitable
3503904,132944,Montipora nodosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3503904,132944,Montipora nodosa,9.8.4,Lagoon,,,Suitable
3578932,133120,Acropora latistella,9.8.2,Back Slope,,,Suitable
3578932,133120,Acropora latistella,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3578932,133120,Acropora latistella,9.8.4,Lagoon,,,Suitable
3625707,133196,Montipora incrassata,9.8.1,Outer Reef Channel,,,Suitable
3625707,133196,Montipora incrassata,9.8.2,Back Slope,,,Suitable
3625707,133196,Montipora incrassata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3625707,133196,Montipora incrassata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3625707,133196,Montipora incrassata,9.8.4,Lagoon,,,Marginal
3667540,133278,Leptastrea pruinosa,9.8.1,Outer Reef Channel,,,Marginal
3667540,133278,Leptastrea pruinosa,9.8.2,Back Slope,,,Suitable
3667540,133278,Leptastrea pruinosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3667540,133278,Leptastrea pruinosa,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3667540,133278,Leptastrea pruinosa,9.8.4,Lagoon,,,Suitable
3667540,133278,Leptastrea pruinosa,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3743106,133433,Montipora crassituberculata,9.8.2,Back Slope,,,Suitable
3743106,133433,Montipora crassituberculata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3743106,133433,Montipora crassituberculata,9.8.4,Lagoon,,,Suitable
